,address_id,house_number,block_number,building_name,street_name,locality,landmark,state,division,district,taluka,village,pincode
12912,7f6520158ee98794c269c8cd06c4a886,,11,GOKULDHAM COMPLEX,GAJANAN MANDIR ROAD,SEVEN HILLS,NEAR CADA OFFICE,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431001
12913,7f659a516cc8096a95658ebb7696a350,,,,Vijay Colony,Congress Nagar Road,,MAHARASHTRA,Amravati,Amravati,Amravati,Amravati (M Corp.),444606
12914,7f6d037ded88d16b0d47b4d76800bec5,,,,LINK ROAD,MAUJE AGARTAKALI SHIWAR,,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422011
12915,7f6f36adb145624adbdbf16671a36537,,,,sitaram jadhav marg,lower parel,,MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400013
12916,7f7575f87be87fe1057fd723da976a33,,"Office No. 03, Ground Floor,","Gulab Dutt CHS Ltd.,",D. K. Sandhu Marg,Chembur,Opp. Malhar Hotel,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400071
12917,7f77d094c5232e96b1dc9eae8b88e12d,,SHOP NO 2,BHATWADI KAJUPADA,GHATKOPAR,NEAR SIDDHI GANESH MANDIR,SIDDHI GANESH MANDIR,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400084
12918,7f79063d84873177280d64cc4828417c,,Plot no 215,.,Abhyankar Nagar,Nagpur,Nagpur,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440010
12919,7f7b9261175e96924eeb7fc2ffdf547b,,1,ATMARAM KENE RESIDENCY,KARNIK ROAD,CHICKENGHAR,NEAR HOLY CROSS SCHOOL,MAHARASHTRA,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421301
12920,7f824df03c38d6aeb1a043e6b412121f,,GROUND FLOOR,ORCHID METROPOLIS,S G BARAVE MARG,KURLA EAST,OPPOSITE TO KURLA E STATION,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400024
12921,7f82f2fd47a8758ee5e64047af9c9861,,,,Opp. SBI,Nehru Nagar,,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400024
12922,7f834518b32a50b0cdce1bacc6ce144e,,7,Yerne House,Shivaji Chouk,Nagbhid,NA,MAHARASHTRA,Nagpur,Chandrapur,Nagbhir,Nagbhid,441205
12923,7f87a0a4b73bf2608cb003d71022cc02,,65/C,GAJANAN APARTMENT,WARDHA ROAD,GAJANAN NAGAR,NEAR MADHAV NETRALAYA,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440015
12924,7f88a6cd362a9686d9e8f8691d8daf26,,,,GAJANAN MAHARAJ TEMPLE ROAD,VIDYANAGAR,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431005
12925,7f8aca4faa0b03de65709e7ebb458f21,,2 ND FLOOR,ARKADE HOUSE,A S MARG ASHOK NAGAR,KANDIVALI EAST,NEXT TO CHILDRENS ACADEMY SCHOOL,MAHARASHTRA,Konkan,Mumbai Suburban,Borivali,Borivali,400101
12926,7f8bab495bc95aac6e33daf9d58f2c22,,,,Ghodbunder Road,Chitalsar Manpada,,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400607
12927,7f8dd248e3b22a7a97384df1f405db5b,,SHOP 101 102,RAJIV GANDHI TOWN HALL COMPLEX,PACHORA,SHIVAJI CHOWK,SHIVAJI CHOWK,MAHARASHTRA,Nashik,Jalgaon,Pachora,Pachora (M Cl),424201
12928,7f932b58ff89e02d030748c5443d683e,,702,CONCORD CHS,NS ROAD NO 10,JVPD,POWER GYM,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400049
12929,7f9cc50a59f21fc20e814636c4055d49,,,,KALYAN SHILL ROAD,NEAR VENKATESH PETROL PUMP,,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421201
12930,7f9fcc93d2d0bca82e0f5d6ccae495db,,,,KATHE GALLI,"TAPOVAN ROAD, DWARKA",,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422001
